text,target,num_characters,num_words,num_sentences
CONGRATULATIONS! FREE 2GB data is yours! Claim on Airtel Thanks App Now. Hurry i.airtel.in/e/csl_ml_2GB,1,90,17,4
"Hi! Thank you for being with Vi-India's FASTEST 4G, Ookla-verified. We'd love to improve ourselves! Click http://bit.ly/3uU8D31 to share your feedback.",1,131,30,4
"As part of Cyber Swachhta Pakhwada, CERT-In GoI advises you to keep your digital devices bot free. Get bot removal tool at https://www.csk.gov.in",1,123,27,2
I will try to manage took tablets,0,27,7,1
Study from Home with Vi!! Watch Kite Victers Channel FREE on your Mobile with Vi . Download Vi Movies and TV app now . Click bit.ly/Vi-kite2,1,115,28,4
Get it fixed asap,0,14,4,1
?image omitted,0,13,3,1
Not sure if I can join by tomorrow morning,0,34,9,1
"Hi, [1] new Home Loan offer for you | Rates start as low as 6.75% | EMIs from Rs. 649/lakh. Apply now. TnC apply bnkbzr.co/o68urxqDiB",1,109,32,4
"The summer heat is here ! Get your AC, Air Cooler or Fridge now and pay later at no cost using Federal Bank Debit Card EMI ! Click https://fdrl.in/t/dPmgHO for the latest offers -Federal Bank",1,157,38,3
Don't let security concerns ruin your travel plans! Get Airtel Xsafe- Wi-Fi enabled surveillance solution that sends real time alerts. Order now and get FREE installation i.airtel.in/PreEye,1,163,30,3
"Rs299 recharged! Enjoy Unlimited Calls+4GB/Day+100SMS/Day. Valid for 28 Days.Your 1 yr ZEE5 Premium subscription credited! To activate, click bit.ly/ViZee5Offer",1,142,23,4
Hi,0,2,1,1
You're just 1 step away from FREE router! Get Airtel Xstream Fiber & enjoy up to 1 Gbps speeds on all your devices! Plans starting at just Rs 499! i.airtel.in/Exclusiveoffer,1,144,34,4
Start discussing on topics,0,23,4,1
"Happy 2021 to one and all. May all the obstructions and constraints be removed, may you have clarity and peace of mind and a healthy body in the new year",0,124,32,2
I am working infront of ac now,0,24,7,1
Fortunately buying PAYTM this week has turned out to be profitable,0,56,11,1
This diwali let's do big savings. Get 75% off on salary withdrawals upto ?3000. Offer valid 25th Oct-13th Nov. Sign up now weurl.co/wiroNb Team Refyne,1,126,30,3
Msg sent by mistake,0,16,4,1
"Learning makes people grow continuously, and only with enough knowledge can you gain a firm foothold in this market. No matter which field you are in, you need to keep learning. Knowledge is the capital for you to accumulate wealth.",0,193,45,3
Yes the trend is consistently upward After all we're making a profit,0,57,13,1
Is the assistantÃ¢ÂÂs sharing tonight or tomorrow night,0,50,8,1
I bought 200 shares,0,16,4,1
Good evening everyoneÃ°ÂÂÂÃ°ÂÂÂ¼,0,35,3,1
THE BIG BULL starring Abhishek Bachchan dekhiye Disney+ Hotstar VIP par. Vi ke naye 401 recharge pe paiye 1yr Disney+ Hotstar VIP & 100GB data (3GB/day +16GB) + Unlimited Calls; 28days. Click bit.ly/ViHotstar1,1,177,38,3
